BOY	SIZ	0.970332
BOY	TCR	0.988910
BOY	TCT	0.980761
BPUR	BBR	-0.961123
BPUR	DL	-0.952003
BR	EIX	0.975446
BR	SGY	0.977305
BR	TBI	0.979200
BRE	AMC	0.986167
BRE	AML	0.974212
BRE	ANH	0.984092
BRE	BDWGP.PK	1.101511
BRE	BFS	0.987323
BRE	CMM	0.990746
BRE	EOP	0.989519
BRE	EQR	0.993963
BRE	ESS	0.994759
BRE	HME	0.995691
BRE	HTB	0.994303
BRE	HTG	0.977212
BRE	LXP	0.974514
BRE	MFA	0.971456
BRE	PPS	0.991398
BRE	SFI	0.972018
BRE	SMT	0.992100
BRE	SUI	0.979133
BRE	TCR	0.977440
BRE	WRE	0.984743
BRE	WXH	0.976300
BREL	BBR	0.977595
BREL	JBLU	-0.950018
BRO	AET	0.977077
BRO	AGY	0.975073
BRO	AOC	0.976665
BRO	MCO	0.970308
BRO	OTL	0.975881
BRT	BDWGP.PK	0.975340
BSBN	PPE	0.979991
BSH	SJM	-0.961595
BSH	WLS	-0.965513
BSML	NVDM	-0.963216
BVC	ORI	0.977978
BW	PAS	0.975286
BW	PBG	0.979657
BW	TMK	0.979746
BXP	AHR	0.973483
BXP	AKR	0.978983
BXP	AMB	0.992129
BXP	AMC	0.998681
BXP	ARE	0.983092
BXP	ARI	0.987943
BXP	AVB	0.970298
BXP	BDN	0.993258
BXP	BDWGP.PK	1.032940
BXP	BED	0.986765
BXP	EPR	0.988233
BXP	EQY	0.982423
BXP	HOT	0.977038
BXP	HPT	0.988744
BXP	HRP	0.994524
BXP	HTG	0.971614
BXP	LRY	0.986304
BXP	LXP	0.971943
BXP	MAA	0.993167
BXP	MAC	0.980617
BXP	MLS	0.985339
BXP	O	0.985013
BXP	PNP	0.987006
BXP	PSA	0.986005
BXP	PSB	0.982992
BXP	SFI	0.975414
BXP	SIZ	0.983477
BXP	SKT	0.985398
BXP	SLG	0.989091
BXP	SNH	0.984667
BXP	SPG	0.985844
BXP	SSS	0.990396
BXP	SUI	0.972007
BXP	TCO	0.990327
BXP	TCT	0.982098
BXP	TMA	0.993717
BXP	UBA	0.997451
BXP	VNO	0.993514
CAMZ	AFCEE	1.000011
CAMZ	BAXS	-1.000011
CAMZ	CBNC.PK	1.000082
CAMZ	CMH	1.000046
CAMZ	DVI	1.000011
CAMZ	EUNIE	1.000008
CAMZ	IFS	1.000021
CAMZ	JDEC	1.000011
CAMZ	NAUT	1.000022
CAMZ	NOR	1.000023
CAMZ	PORT	-1.000023
CAMZ	RNA	1.000011
CAMZ	RSTNE	1.000011
CAMZ	SUFI	-1.000011
CAMZ	WHES	-1.000011
CAMZ	WIX	-1.000029
CARS	AMB	0.990938
CARS	AMC	1.004654
CARS	AML	0.982008
CARS	ARE	0.982154
CARS	ARI	0.989923
CARS	BDN	0.984440
CARS	BDWGP.PK	1.075742
CARS	BED	0.986505
CARS	BOY	0.977940
CARS	BXP	0.978494
CARS	CBL	0.983032
CARS	CDX	0.972365
CARS	CEI	0.988087
CARS	CLI	0.984613
CARS	CLP	0.988851
CARS	CMM	0.979730
CARS	CNT	0.993689
CARS	CPT	0.980560
CARS	CPV	0.979063
CARS	CRE	0.988890
CARS	CUZ	0.985819
CARS	EOP	0.976923
CARS	EQY	0.989151
CARS	FR	0.977332
CARS	FRT	0.970696
CARS	GBP	0.992815
CARS	HCN	0.985965
CARS	HMT	0.982256
CARS	HOT	0.977873
CARS	HPT	0.977934
CARS	HRP	0.983071
CARS	HTB	0.970817
CARS	HTG	0.976885
CARS	KE	0.984221
CARS	KIM	0.982175
CARS	KRC	0.984390
CARS	KRT	0.972426
CARS	LXP	0.992786
CARS	MAA	0.988117
CARS	MFA	0.976259
CARS	NXL	0.982875
CARS	O	0.985527
CARS	PNP	0.988237
CARS	PP	0.982386
CARS	PSA	0.986655
CARS	PSB	0.987832
CARS	RA	0.978915
CARS	RAS	0.974051
CARS	REG	0.974779
CARS	RPT	0.971613
CARS	RSE	0.980709
CARS	RYN	0.972731
CARS	SFI	0.984430
CARS	SIZ	0.987814
CARS	SKT	0.982977
CARS	SNH	0.970156
CARS	SSS	0.972594
CARS	SUI	0.984112
CARS	TCO	0.979209
CARS	TCR	0.980771
CARS	TCT	0.993037
CARS	TMA	0.985305
CARS	UBA	0.986552
CARS	UDR	0.972213
CARS	UHT	0.982217
CARS	USV	0.979939
CARS	VNO	0.985061
CARS	WRE	0.971365
CARS	WXH	0.974490
CATY	CHTT	0.970344
CATY	EIX	0.974108
CATY	TBI	0.974465
CATY	VTS	0.970549
CATY	WCC	0.977015
CBH	MCO	0.973912
CBH	MON	0.978635
CBH	VTS	0.970829
CBH	WCC	0.985561
CBH	WLP	0.972274
CBL	AMB	0.979642
CBL	AMC	0.994873
CBL	ARE	0.977389
CBL	ARI	0.980427
CBL	BDN	0.984254
CBL	BDWGP.PK	1.071520
CBL	BED	0.978278
CBL	BFS	0.980259
CBL	BXP	0.976156
CBL	EOP	0.976283
CBL	EQY	0.974720
CBL	HPT	0.977248
CBL	HRP	0.970582
CBL	HTB	0.972680
CBL	HTG	0.977693
CBL	LXP	0.980186
CBL	MAA	0.983930
CBL	O	0.978397
CBL	PNP	0.989467
CBL	PSA	0.977509
CBL	SFI	0.974392
CBL	SIZ	0.977165
CBL	SKT	0.989456
CBL	SSS	0.975086
CBL	SUI	0.974208
CBL	TCR	0.977087
CBL	TCT	0.980161
CBL	TMA	0.979221
CBL	UBA	0.991544
CBL	VNO	0.985490
CBL	WRE	0.974467
CBSA	PHC	-0.969739
CBSA	ROAD	0.975704
CBSA	TSTN	-0.988023
CCBL	KEI	0.975441
CDX	AMC	0.994292
CDX	AML	0.972581
CDX	BDWGP.PK	1.075101
CDX	CMM	0.992188
CDX	LXP	0.980662
CDX	MFA	0.975204
CDX	SFI	0.970638
CDX	SUI	0.975514
CDX	TCT	0.971696
CEI	AMB	0.987225
CEI	AMC	0.985495
CEI	ARE	0.986464
CEI	ARI	0.987814
CEI	BDN	0.974873
CEI	BDWGP.PK	1.063246
CEI	BED	0.986170
CEI	BOY	0.981678
CEI	BXP	0.975269
CEI	CBL	0.974021
CEI	EGP	0.970928
CEI	EQY	0.977265
CEI	HMT	0.984165
