DDIC.OB	IFIN	0.950424
DDIC.OB	LNCE	0.954693
DDIC.OB	NARA	0.959625
DDIC.OB	PTEN	0.950907
DDIC.OB	ECSI	0.955833
DDIC.OB	ACF	0.959953
DDIC.OB	DQE	0.960188
DDIC.OB	OCR	0.951105
DDIC.OB	KEY	0.957770
DDIC.OB	UIL	0.950979
DDIC.OB	SWM	0.956731
DDIC.OB	ATW	0.964086
DDIC.OB	ZMH	0.969454
DDIC.OB	ASH	0.951534
DDIC.OB	ALV	0.951954
DDIC.OB	AFC	0.964845
BREL	AMEV	0.958512
BREL	SNDV	0.964986
BREL	ALLE	0.951762
BREL	STFR	0.952171
BREL	GHVI	0.964809
BREL	RJR	0.950680
BREL	DL	0.960831
BREL	MME	0.961766
BREL	PPE	0.961733
BREL	BBR	0.977445
BREL	HHS	0.951958
HBAN	ASO	0.968201
UTEK	CYMI	0.958507
UTEK	ASYT	0.954622
UTEK	NETE	0.957617
UTEK	ELX	0.962721
ACDO	COLB	0.950030
ACDO	APOL	0.954837
ACDO	MOGN	0.950248
ACDO	WIRE	0.963503
ACDO	CHTT	0.951525
ACDO	JCP	0.953327
ACDO	TRA	0.953463
ACDO	BYD	0.952867
ACDO	MGG	0.956944
ACDO	BRO	0.954794
ACDO	MBG	0.962796
ACDO	IGT	0.958013
ACDO	OTL	0.960999
ACDO	AOC	0.970203
ACDO	AGY	0.960986
ACDO	AET	0.951911
AMWD	ACAS	0.956062
AMWD	HDWR	0.951996
AMWD	SCFS	0.954634
AMWD	VBAC	-0.954272
AMWD	SBUX	0.972271
AMWD	ADVNB	0.961242
AMWD	RST	0.964315
AMWD	DGX	0.955797
AMWD	GTK	0.962462
AMWD	GPT	0.967308
AMWD	URS	0.953568
AMWD	PL	0.953859
AMWD	FCEA	0.967434
AMWD	JP	0.958870
AMWD	CPC	0.968338
AMWD	HE	0.961036
AMWD	JOE	0.957008
AMWD	CGX	0.952729
AMWD	JHF	0.958570
AMWD	JBX	0.950031
AMWD	TNM	0.956475
AMWD	PNK	0.962952
AMWD	BDX	0.965209
AMWD	BCR	0.960946
AMWD	LUK	0.953033
AMWD	LPX	0.950670
AMWD	LNC	0.964589
AMWD	SOL	0.955493
AMWD	ONE	0.959345
AMWD	AFG	0.962473
AMWD	VLO	0.952529
AMWD	ADM	0.956412
TSIC	PUBB	-0.958950
TSIC	ADTN	0.953463
TSIC	SATH	-0.964159
TSIC	CENX	-0.962455
TSIC	RST	-0.957284
TSIC	RRC	-0.951282
TSIC	URS	-0.955962
TSIC	RT	-0.951773
TSIC	UNT	-0.954626
TSIC	PR	-0.955782
TSIC	CGX	-0.960491
TSIC	TRZ	-0.955160
TSIC	FIX	-0.961454
TSIC	TNM	-0.964369
TSIC	LUV	0.954211
TSIC	SUN	-0.958357
TSIC	LNR	-0.976633
TSIC	DUK	-0.972994
COMS	ASTSF	0.953659
HIBB	COLB	0.955080
HIBB	PRGO	0.952675
HIBB	REXI	0.956176
HIBB	SMRT	0.951461
HIBB	WMAR	0.951358
HIBB	ADSK	0.963573
HIBB	CATY	0.954526
HIBB	RRC	0.956782
HIBB	NKE	0.966153
HIBB	NEV	0.957066
HIBB	NDE	0.956538
HIBB	BW	0.951633
HIBB	MWY	0.950465
HIBB	CBH	0.962373
HIBB	MON	0.961512
HIBB	TMK	0.951682
HIBB	MCO	0.951553
HIBB	TBI	0.960692
HIBB	WLP	0.962151
HIBB	LVB	0.959501
HIBB	PBG	0.951838
